"No","Judul","Topik","Abstrak","",""
"11","ANALISA PERBANDINGAN PEMODELAN BASIS DATA MENGGUNAKAN ER- DIAGRAM DAN EER-DIAGRAM PADA KASUS SISTEM ASISTENSI PERKULIAHAN PRAKTIKUM","Basis Data","Perselisihan dan kebingungan dalam pemilihan dan penentuan alat pemodelan data secara konseptual sering
terjadi apabila tidak memiliki dasar dalam sudut pandang tentang bagaimana penerapan hasil dari pemodelan basis
data. Penerapan hasil rancangan basis data diimplementasikan dengan suatu bahasa pemrograman dengan sudut
pandang berorientasi pada objek dan tidak berorientasi pada objek. Alat perancangan secara konseptual yang
berupa Entity Relationships Diagram (ER-D) dianggap memiliki sudut pandang tidak berorientasi pada objek
sedangkan Enhanced Entity Relationships Diagram (EER-D) memiliki pendekatan-pendekatan berorientasi pada
objek. EER-D merupakan perluasan dari ER-D dengan adanya tambahan fitur berupa generalisasi, spesialisasi dan
kategorisasi. Pada studi kasus sistem asistensi perkuliahan praktikum yang dilakukan dengan pemodelan data
dengan merancang basis data menggunakan ER-D dan EER-D dapat dibandingkan bahwa ER-D memiliki
kelebihan dalam kesederhanaan notasi, sifatnya umum tetapi sulit diimplementasikan pada kasus yang orientasinya
pada objek. EER-D memiliki keunggulan lebih mendekati pada kasus yang ada di lapangan karena berorientasi
pada objek, tetapi karena sifatnya yang harus diselesaikan perkasus memaksa perancangannya lebih rumit dan
harus rinci. Pada studi kasus sistem asistensi mata kuliah praktikum ini hasil skema relasi yang ditransformasikan
dari EER-D lebih banyak dibandingkan dengan menggunakan ER-D. Hasil dari skema relasional ini dapat
diterapkan ke dalam aplikasi sistem manajemen basis data diberubah dulu menjadi struktur tabel yang disimpan
dalam sebuah basis data. Kata kunci: ER-Diagram, EER-Diagram, analisa perbandingan.","",""
"12","ANALISIS DAN PERANCANGAN SISTEM BASIS DATA TERHADAP APLIKASI SCORECARD SYSTEM PADA PT. THE FOREST TRUST  INDONESIA","Basis Data","Perusahaan The Forest Trust Indonesia merupakan perusahan yang bergerak di bidang
kehutanan dan hasil bumi yang meliputi kelapa sawit dan perusahaan pengolahan minyak
kelapa sawit, hutan penghasil kayu, pabrik pengolah kayu, pabrik kertas. Perusahaan ini harus
mampu melihat setiap transaksi yang dilakukan di wilayah Sumatera, Kalimantan dan Papua.
Perusahaan The Forest Trust Indonesia memiliki aplikasi scorecard system untuk mendukung
kinerja karyawan. Oleh karena itu, dibutuhkan database yang mampu menampung data dalam
skala besar yang dapat mendukung kinerja website tersebut. Namun setelah dilakukan
observasi pada perusahaan tersebut, muncul adanya kendala di dalam pemakaian website
perusahaan diantaranya adalah : Lambatnya proses input data scorecard; Proses untuk
menampilkan laporan berupa gambar grafik masih terkendala. Dengan terjadinya kendala
tersebut, penulis mencoba menganalisis basis data dengan observasi kinerja website dan
perancangan basis data dengan tahapan konseptual, logical dan fisikal.Tujuan dari tugas akhir
ini adalah peneliti ingin dapat menganalisis basis data pada perusahaan The Forest Trust
Indonesia. Dan dari hasil penelitian ini hasil yang ingin dicapai adalah solusi untuk membuat
rancangan basis data yang efisien dan stabil untuk mendukung layanan atau operasional kerja
dengan baik. Kata Kunci : Analisis, Perancangan Basis Data, Konseptual, Logical dan Fisikal","",""
"13","MANAJEMEN BASIS DATA SARANA KAMPUS UNIVERSITAS BENGKULU MENGGUNAKAN ALGORITMA A BERBASIS SPASIAL","Basis Data","Penelitian ini bertujuan untuk membangun suatu aplikasi manajemen basis data spasial sarana kampus Universitas Bengkulu berbasis Android dengan mengimplementasikan algoritma A* dalam pencarian rute terpendek. Aplikasi ini dapat digunakan oleh pengguna smartphone Android, untuk memilih sarana apa yang ingin dituju di kampus Universitas Bengkulu berdasarkan kategorinya. Metode pengembangan sistem menggunakan sequential linear dan sebagai alat bantu perancangan sistem menggunakan Unified Modelling Language (UML). Bahasa pemrograman yang digunakan adalah bahasa pemrograman Java dengan Android 2.2 SDK dan IDE Eclipse 3.5 Galileo serta database SQLite untuk manajemen basis data. Hasil penelitian ini yaitu aplikasi manajemen basis data spasial dalam penyebarluasan informasi sarana kampus Universitas Bengkulu untuk mendapatkan hasil jarak terpendek yang diterapkan pada smartphone Android sehinggga mudah dibawa kemana-mana dan dapat menghemat waktu dan biaya.
Kata kunci: Algoritma A*, Android, SQLite, UML, Manajemen Basis Data, IDE Eclipse 3.5","",""
"14","ANALISIS PERBANDINGAN SISTEM DATA POKOK PENDIDIKAN ( DAPODIK ) TINGKAT SMK","Basis Data","Sistem Informasi Data Pokok Pendidikan (Dapodik)
merupakan sistem informasi pengolahan data pendidikan yang
digunakan oleh setiap operator sekolah pendidikan.Tujuan
penelitian ini adalah memberikan gambaran bagaimana sistem
berjalan pada sistem yang telah ada dan memberikan beberapa
usulan untuk penambahan fitur.Dalam analisis data pokok
pendidikan ini penulis menggunakan metode penelitian
deskriptif yaitu mendeskripsikan apa bagaimana sistem berjalan
dan dengan pendekatan secara kualitatif serta teknik
pengumpulan data menggunakan observasi, wawancara, dan
dokumentasi. Hasil penelitian menunjukkan bahwa sistem data
pokok pendidikan tingkat smk yang sedang berjalan sudah
sangat membantu pendataan di sekolah.Penulis juga berharap pengembangan aplikasi dapat memberikan lebih banyak lagi
penambahan fitur dan kegunaan aplikasi tersebut menjadikan
lingkup yang lebih luas lagi. Kata kunci — Data Pokok Pendidikan, Perbandingan Sistem.","",""
"15","APLIKASI PENGOLAHAN DATA STOK MOBIL PADA DEALER XYZ DI TASIKMALAYA","Basis Data","Perkembangan ilmu pengetahuan dan teknologi yang sangat pesat semakin mendorong manusia untuk meningkatkan bahkan menciptakan suatu teknologi baru yang lebih bermanfaat bagi umat manusia. Dealer XYZ merupakan salah satu dealer di Tasikmalaya yang masih menggunakan sistem manual dalam pendataannya, Pengolahan Stok merupakan masalah yang sering terjadi pada Dealer XYZ, Sebuah aplikasi Pengolahan data stok dapat mengatasi masalah tersebut, sehingga pengolahan data bisa lebih efektif dan efisien. Metode penelitian yang digunakan adalah, obsevasi, wawancara dan studi pustaka.
Kata Kunci: Stok,Observasi,Wawancara,Studi Pustaka","",""
"16","IMPLEMENTASI PENGAMANAN BASIS DATA DENGAN TEKNIK ENKRIPSI KRIPTOGRAFI SIMETRIS","Basis Data","Salah satu aspek penting dari pengolahan data adalah masalah keamanan data dan
kerahasiaan data. Data - data yang terdapat dalam suatu sistem pengolahan data diharapkan untuk
mengamankan pihak yang tidak berhak tidak dapat mengaksesnya. Untuk bentuk dikembangkan
keamanan dan kerahasiaan data dengan melakukan menu password pengenkripsian dengan
menggunakan DES yang diharapkan tingkat keamanan data terjamin.
Kata kunci: data, keamanan, kerahasiaan, DES, password,","",""
"17","DESAIN SISTEM MANAJEMEN BASIS DATA ASET TETAP PADA SEKOLAH HIGH SCOPE INDONESIA","Basis Data","Perkembangan teknologi informasi tidak hanya mempengaruhi dunia usaha, tetapi juga bidang - bidang
lain, seperti kesehatan, pendidikan, pemerintahan dan lain-lain. Kemajuan teknologi informasi terutama pada
era informasi berdampak pula terhadap pengelolaan aset tetap dalam suatu entitas
Sekolah HighScope Indonesia merupakan salah satu institusi pendidikan sejak dari Playgroup sampai
SMA yang berada di Jakarta Selatan. Sarana, prasarana, peralatan dan perlengkapan yang dimiliki oleh
Sekolah HighScope Indonesia merupakan aset tetap yang harus dikelola secara optimal dalam menunjang
kegiatan operasional pendidikan di Sekolah HighScope Indonesia.
Pengelolaan aset tetap Sekolah HighScope Indonesia masih dilakukan secara manual sehingga
menimbulkan tidak efisien dan tidak efektifnya dalam monitoring aset tetap.
Tujuan penelitian ini adalah untuk membuat desain sistem manajemen basis data aset tetap. Desain
sistem dengan membuat Data Flow Diagram (DFD) dan Entity Relationship Diagram (ERD).
Diharapkan dengan sistem manajemen basis data dapat menjelaskan semua aktivitas dengan baik
sehingga hasil yang diinginkan sesuai dengan keinginan pengguna dan diharapkan pula dapat meminimalkan
kekurangan dan kelemahan sistem yang ada saat ini.
Kata kunci : Desain, Sistem Informasi, Basis Data, Aset Tetap, Manajemen","",""
"18","DISAIN DATABASE UNTUK PENGELOLAAN DATA KULIAH KERJA NYATA (KKN) PADA INSTITUT AGAMA ISLAM NEGERI (IAIN) BATUSANGKAR","Basis Data","Kuliah Kerja Nyata atau yang lebih sering di singkat dengan KKN adalah salah satu agenda akademik yang setiap tahunnya di selenggarakan oleh Lembaga Penelitian dan Pengabdian Masyarakat (LPPM) di Institut Agama Islam Negeri Batusangkar, setiap tahunnya ada sekitar kurang lebih seribu orang mahasiswa yang akan mengikuti kegiatan ini yang tersebar di seluruh daerah yang ada di Sumatera Barat, dalam hal pengelolaan data mahasiswa peserta KKN di Institut IAIN Batusangkar terdapat beberapa kendala dan kelemahan sistem yang sedang berjalan, pembagian kelompok, penempatan mahasiswa dan dosen pendamping lapangan masih menggunakan aplikasi spread sheet, serta sistem penilaian dengan menggunakan blangko penilaian yang juga di buat menggunakan aplikasi excel, dengan menggunakan cara seperti ini, banyak permasalahan yang mungkin di timbulkan, seperti data mahasiswa yang mengikuti hilang, atau data mahasiswa yang ganda, cara seperti ini juga memungkinkan lembaga pengelola kehilangan informasi-informasi penting ketika salah satu data terhapus. Dengan menciptakan sebuat database yang baik, menggunakan metode Entity Relationship Diagram (ERD), lembaga dapat memiliki suatu gudang data yang baik yang tentunya sesuai dengan kaidah-kaidah database, permasalahan-permasalahan yang di timbulkan selama ini dapat terhidar dari anomali-anomali yang terdapat pada database tersebut.
Kata Kunci: Database, Entity Relationship Diagram, Kuliah Kerja Nyata.","",""
"19","ANALISIS DAN PERANCANGAN BASIS DATA PASIEN RAWAT JALAN PADA RUMAH SAKIT Dr.IBNU SUTOWO BATURAJA","Basis Data","Tujuan dari penelitian ini adalah untuk mempelajari dan menganalisi databases yang sedang berjalan pada rumah sakit DR.IBNU SUTOWO baturaja, menganalisis dan merancang sebuah databases untuk mendukung kebutuahan data dalam proses pencatatan administrasi pada rumah sakit.metode penelitian yang di gunakan diantaranya, yaitu metode pengumpulan data. Pengumpulan data meliputi studi pustaka, wawancara dengan pihak-pihak yang terlibat pada rumah sakit DR.IBNU SUTOWO baturaja dan observasi secara langsung proses bisnis yang berlangsung. Hasil yang di capai adalah menghasilkan sebuah database yang sudah terstruktur dan terintegrasi dengan masing-masing bagian,membantu perusahaan untuk memperoleh infromasi tentang permasalahan dan menyelesaikan masalah yang ada dalam system database rumah sakit rawat jalan.
Simpulan yang dapat di ambil adalah kesalahan sumber daya manusia atau human error dapat diminimalisir dengan adanya batasan-batasan yang di tetapkan dalam program,masing-masing user dapat memanipulasi data sperti menambah,menghapus, mengupdate,dan mencari data. Dengan adanya basis data ini,database yang ada pada rumah sakit terintegrasi dengan baik.
Kata kunci:perancangan,basis data, administrasi,basis data rumah sakit dr.ibnu sutowo,Mysql","",""
"20","IMPLEMENTASI METODE DEMPSTER SHAFER DAN DESAIN BASIS DATA PADA SISTEM PAKAR DIAGNOSA PENYAKIT MATA","Basis Data","Terbatasnya pengetahuan pasien terhadap penyakit mata menjadi masalah dan membuat pasien kesulitan untuk memprediksi penyakit mata yang dideritanya. Dalam hal ini, tentunya pasien akan membutuhkan seorang pakar yang bisa lebih dini mendiagnosa penyakit mata agar dapat melakukan pencegahan lebih awal. Adanya sistem pakar dapat digunaan sebagai media konsultasi, dimana pengetahuan pakar yang telah dipindahkan ke dalam sistem konputer dapat digunakan sebagai dasar oleh sistem pakar dalam menjawab pertanyaan pengguna. Langkah-langkah yang digunakan adalah penilaian keadaan, akuisis pengetahuan dan perancangan. Penelitian ini difokuskan pada perancangan aturan rule dan perancangan basis data. Metode Demspter Shaffer digunakan untuk perancangan aturan rule dan basis data relasional digunakan sebagai model basis data. Hasil penelitian ini adalah rancangan basis data pada sistem pakar untuk mendiagnosa penyakit mata.
Kata Kunci: Sistem Pakar, Metode Dempster Shaffer, Basis Data, Penyakit Mata","",""
"21","IMPLEMENTASI METODE GRAY LEVEL SLICING DALAM PENCARIAN CITRA PADA BASIS DATA","Basis Data","Citra merupakan sebuah proses pengolahan dan analisis yang banyak melibatkan persepsi visual. Proses ini mempunyai ciri data masukan dan informasi keluaran yang berbentuk citra dimana secara umum sebagai pemrosesan citra dengan computer dan pengolahan citra digital juga mencakup seluruh data. Meskipun sebuah citra kaya informasi, namun seringkali citra yang kita miliki terjadi penurunan intensitas mutu dan sulit di representasikan sehingga informasi yang ada menjadi berkurang.Pencarian citra merupakan sebuah proses pencocokan data citra yang diinputan dengan data citra yang sudah ada. Apabila data yang menjadi syarat dalam menemukan citra tersebut sama, maka sebuah citra akan dinyatakan ditemukan. Pada umumnya pencarian citra dilakukan dengan dua cara, yaitu pencarian berbasis teks dan pencarian berbasis query. Metode gray level slicing perajangan nilai tingkat keabuan dengan teknik pelebaran, pengecilan dan pergeseran histogram. Manipulasi kontras citra merupakan perbaikan kontras suatu citra dari prose operasi titik pada citra spectral tunggal. Proses ini menggunakan modifikasi histogram, yang berupa pergeseran, pemerataan, perajangan dan penentuan kontras biner dengan teknik nilai ambang dari histogram tingkat keabuan citra.
Kata kunci: Citra, Basis Data, Gray Level Slicing","",""
